Mes,Periodo,IDEAC,PIB,Riesgo_Pais,Tasa_Desempleo,IPCO,Oil,TAR,CreditoVivienda,SalarioReal,IPC,CreditoProductivo,CreditoMicro
8,2016,150.637064250629,17310908,863,6.68126653749027,235.3,44.88,8.21,56.41646861000002,434.1102294921875,105.12332153320312,92.89482879638672,256.5893859863281
8,2017,155.755952224232,17819405,643,5.3635196382911,233.37,49.94,7.58,106.54800753999999,454.5010070800781,105.4168930053711,176.01922607421875,351.92169189453125
8,2018,162.879504831516,18080826,725,5.19672471223088,237.86,71.08,7.63,119.78996354999998,483.0579528808594,105.08352661132812,129.2151336669922,362.1446838378906
8,2019,160.777617461741,18075353,705,5.94363872428563,243.99,57.67,8.74,101.67315661000004,501.67095947265625,105.4326400756836,135.1932373046875,384.1048278808594
8,2020,145.19270667113,16487573,2813,8.59321173241091,243.48,43.44,9.03,73.821927,521.048583984375,104.63351440429687,366.5408020019531,335.92718505859375
9,2012,150.828597784056,16196959,743,4.63398325239907,237.34,106.28,8.17,NA,307.16607666015625,94.49375915527344,NA,NA
9,2013,156.348423037123,17131619,628,4.56866239167321,236.06,108.76,8.17,NA,358.22296142578125,96.1135482788086,NA,NA
9,2014,166.10652811791,17736022,401,3.896618918211693,237.42,95.85,7.86,NA,393.1031799316406,100.14361572265625,NA,NA
9,2015,154.216780457738,17492225,1451,4.283005058269238,244.11,46.28,8.06,52.889102269999974,410.7398986816406,103.93019104003906,203.6497802734375,114.54598999023437
9,2016,151.880853609568,17310908,845,5.202493756674234,234.38,45.04,8.78,59.01574000000001,433.4497985839844,105.28350067138672,78.09123992919922,257.1811218261719
9,2017,155.61980199421,17819405,606,4.1385564117553475,234.22,52.95,8.19,99.41821945000004,455.1975402832031,105.25558471679687,177.4778289794922,307.9851379394531
9,2018,162.566823536938,18080826,621,4.026133126429318,238.07,75.36,8.01,108.13601932999997,481.1723327636719,105.49532318115234,96.21709442138672,350.82281494140625
9,2019,159.299981214779,18075353,677,4.855632141031821,244.01,60.04,8.65,95.61193947000001,501.7309875488281,105.42002868652344,201.5787811279297,386.2849426269531
9,2020,147.05169694888,16487573,1015,6.6370955459116745,243.9,40.6,9.02,78.02049171999998,521.8656005859375,104.4697036743164,264.9300842285156,406.7869567871094
10,2012,150.971651179667,16294042,824,5.00268743264189,238.34,103.41,8.17,NA,306.9021301269531,94.57502746582031,NA,NA
10,2013,158.369951386868,17153556,499,4.86222373248972,NA,105.43,8.17,NA,356.7663879394531,96.505950927734375,NA,NA
10,2014,165.398117041015,17779201,412,4.54164515074893,237.01,86.08,8.34,NA,392.3075866699219,100.34671020507812,NA,NA
10,2015,152.350881281943,17328633,1252,5.64680620209289,242.75,46.96,9.11,41.35143404000002,411.11187744140625,103.8361587524414,46.264060974121094,107.2181167602539
10,2016,153.173295876343,17470434,743,6.51736905214298,232.83,49.29,8.71,52.14019797,433.80657958984375,105.19690704345703,93.1006851196289,258.693115234375
10,2017,155.841304628646,17952383,563,5.81935793893135,234.28,54.92,7.86,93.89154849999997,455.8562316894531,105.1034927368164,141.59132385253906,319.0964660644531
10,2018,162.204211623197,18083933,722,4.8031971229326,238.19,76.73,8.34,100.08246733000007,481.3986511230469,105.44572448730469,57.70108413696289,353.3620300292969
